ARK	200	214	214$c	700	300$a
ark:/12148/cb46997930t	 $a Un fils à maman $b Texte imprimé $e roman $f Véronique Mougin	 $a [Paris] $c Flammarion $d DL 2021¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 15030953 $o ISNI0000000139242646 $a Mougin $b Véronique $f 1977-.... $4 070	
ark:/12148/cb469791509	 $a Les toiles de David $b Texte imprimé $f Paul Auzoul	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 18029254 $o ISNI0000000508059952 $a Auzoul $b Paul $4 070	
ark:/12148/cb46998010z	 $a Bientôt minuit $b Texte imprimé $e roman $f Marie Pavlenko	 $a [Paris] $c Flammarion $d DL 2021¤ $a 86-Ligugé $c Aubin impr.	Flammarion¤Aubin impr.	 $3 16511907 $o ISNI000000011986099X $a Pavlenko $b Marie $f 1974-.... $4 070	
ark:/12148/cb46995570g	 $a Mon cabaret de mots $b Texte imprimé $f Marie Desmaretz	 $a Châteauroux-les-Alpes $c Gros textes $d DL 2022¤ $a 05-Châteauroux-les-Alpes $c Impr. Gros textes	Gros textes¤Impr. Gros textes	 $3 14480646 $o ISNI0000000008870909 $a Desmaretz $b Marie $f 1949-.... $4 070	
ark:/12148/cb46961950c	 $a André-Gilles $b Texte imprimé $e journal de confinement $f Aurel	 $a [Paris] $c l'Usine $d DL 2020¤ $a impr. en Espagne	l'Usine	 $3 14605709 $o ISNI0000000079902277 $a Aurel $f 1980-.... $4 070	
ark:/12148/cb46961990m	 $a Le conte de la caravane perdue $b Texte imprimé $f Franck Renevier	 $a Paris $c Maurice Nadeau $d DL 2021¤ $a impr. en Bulgarie	Maurice Nadeau	 $3 12634513 $o ISNI0000000067270356 $a Renevier $b Franck $4 070	 $a Glossaire
ark:/12148/cb46991610x	 $a Les trésors du pharaon n'étaient donc pas un mirage $b Texte imprimé $f Pascal Carausse	 $a Paris $c Éditions Complicités $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 15910274 $o ISNI0000000476504301 $a Carausse $b Pascal $f 1967-.... $4 070	
ark:/12148/cb469639903	 $a L'antre du serpent $b Texte imprimé $e roman $f Régis Sénécal	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Douro¤Impr. Lightning source	 $3 14701420 $o ISNI0000000061152957 $a Sénécal $b Régis $4 070	
ark:/12148/cb47031830f	 $a Le voyageur immobile $b Texte imprimé $f Jean-Marc Segati	 $a Paris $c Kiwi romans $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	Kiwi romans¤Impr. Laballery	 $3 14478354 $o ISNI0000000107730960 $a Segati $b Jean-Marc $f 1965-.... $4 070	
ark:/12148/cb47003360v	 $a La véritable histoire de Marie Grouette $b Texte imprimé $f Claudie Becques	 $a Eth $c Airvey éditions $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Airvey éditions¤Impr. Sobook	 $3 16508079 $o ISNI0000000119622457 $a Becques $b Claudie $f 1960-.... $4 070	
ark:/12148/cb47022000b	 $a La touche Liotard maculée $b Texte imprimé $e roman $f Denis Gardon	 $a [Paris] $c Éditions Maïa $d DL 2018¤ $a 14-Condé-sur-Noireau $c Impr. Rapidbook	Éditions Maïa¤Impr. Rapidbook	 $3 18026076 $o ISNI0000000507756932 $a Gardon $b Denis $4 070	
ark:/12148/cb47007040c	 $a Après la foudre $b Texte imprimé $f Claire Fercak	 $a Paris $c Arthaud $d DL 2021¤ $a 61-Lonrai $c Normandie roto impr.	Arthaud¤Normandie roto impr.	 $3 15554870 $o ISNI0000000362648921 $a Fercak $b Claire $f 1982-.... $4 070	
ark:/12148/cb47004320v	 $a Handicap mental $b Texte imprimé $e bien préparer son entretien d'embauche $f par Nella	 $a [Clichy] $c Preparojob $d 2021	Preparojob	 $3 18030089 $o ISNI0000000508089190 $a Nella $f 1956-.... $4 070	
ark:/12148/cb46969161r	 $a La humaine $b Texte imprimé $e pièce de théâtre pour deux générations $f Françoise Longeard	 $a Toulouse $c les Éditions Sans nom $d DL 2021¤ $a 31-Toulouse $c Impr. Scopie	les Éditions Sans nom¤Impr. Scopie	 $3 14688802 $o ISNI0000000505683338 $a Longeard $b Françoise $4 070	
ark:/12148/cb46956371p	 $a À l'heure où vient le jour $b Texte imprimé $f Christian Halter	 $a [Paris] $c Éditions Nouvelle Pléiade $d 2022	Éditions Nouvelle Pléiade	 $3 17852703 $a Halter $b Christian $4 070	
ark:/12148/cb469534419	 $a Amour, sexe et secrets inavouables $b Texte imprimé $f Clara Morgane	 $a Paris $c Éditions Contre-dires $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Éditions Contre-dires¤Normandie roto impr.	 $3 14066139 $o ISNI0000000078405199 $a Morgane $b Clara $f 1981-.... $4 070	
ark:/12148/cb469571612	 $a Rennes $b Texte imprimé $e mon ami le diable $f Yannick Loisel	 $a [Sables-d'Or-les-Pins] $c Ouest & cie $d DL 2021¤ $a 22-Plérin $c Impr. Roudenngrafik	Ouest & cie¤Impr. Roudenngrafik	 $3 17064122 $o ISNI0000000459687476 $a Loisel $b Yannick $f 1956-.... $4 070	
ark:/12148/cb469528415	 $a "Attends réponse de ta part" $b Texte imprimé $f poésies de Julien Dupoux	 $a Jouillat $c Éditions Ateliers et vie aux Coudercs $d DL 2020	Éditions Ateliers et vie aux Coudercs	 $3 16054947 $o ISNI0000000439806466 $a Dupoux $b Julien $f 1981-.... $4 070	
ark:/12148/cb46991781q	 $a Habiter l'arbre $b Texte imprimé $f Emmanuel Merle $g encres, Élisabeth Bard	 $a [Montélimar] $c Voix d'encre $d DL 2020¤ $a impr. en Italie	Voix d'encre	 $3 13757041 $o ISNI0000000361052923 $a Merle $b Emmanuel $f 1958-.... $4 070	
ark:/12148/cb46979031r	 $a Révélations $b Texte imprimé $f Raymonde Ferrandi	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 12883506 $o ISNI0000000000464885 $a Ferrandi $b Raymonde $f 1951-.... $4 070	
ark:/12148/cb46979281v	 $a Karma $b Texte imprimé $e roman $f Isabelle Kichenin	 $a Sainte-Clotilde (La Réunion) $c Éditions Poisson rouge oi $d 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Poisson rouge oi¤Impr. Lightning source	 $3 17162829 $o ISNI0000000463607475 $a Kichenin $b Isabelle $f 1973-.... $4 070	
ark:/12148/cb46977921f	 $a Pierre rouge, plume noire $b Texte imprimé $f Thierry Robin	 $a [Paris] $c Dargaud $d DL 2022¤ $a 91-Palaiseau $c Impr. PPO graphic	Dargaud¤Impr. PPO graphic	 $3 12160396 $o ISNI0000000121491855 $a Robin $b Thierry $f 1958-.... $4 070	
ark:/12148/cb46981661m	 $a Le paradis des vauriens $b Texte imprimé $f Wendall Utroi	 $a [Ferney-Voltaire] $c Slatkine & cie $d 2021¤ $a 53-Mayenne $c Impr. Floch	Slatkine & cie¤Impr. Floch	 $3 17923799 $o ISNI0000000493458407 $a Utroi $b Wendall $4 070	
ark:/12148/cb46959741k	 $a Bougre de taupin ! $b Texte imprimé $f Paul Roux	 $a [Wambrechies] $c Bayard service $d impr. 2021¤ $a 59-Linselles $c Impr. Sobook	Bayard service¤Impr. Sobook	 $3 17997797 $o ISNI0000000506302058 $a Roux $b Paul $f 1950-.... $4 070	
ark:/12148/cb46974801t	 $a Fugues, transpositions $b Texte imprimé $f Claude Britz	 $a [S.l.] $c Claude Britz $d 2020	Claude Britz	 $3 15130793 $o ISNI0000000507140900 $a Britz $b Claude $f 1938-.... $4 070	
ark:/12148/cb46971751c	 $a La Guyane tout en douceur $b Texte imprimé $f Alfride Anatole Dominique	 $a [Saint-Denis] $c Orphie $d DL 2021¤ $a impr. en Croatie	Orphie	 $3 16616401 $o ISNI0000000456851912 $a Alfride $b Anatole-Dominique $f 1960-.... $4 070	
ark:/12148/cb46969441z	 $a Ciel et terre $b Texte imprimé $e roman $f Nathan Devers	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 17853598 $o ISNI0000000480025231 $a Devers $b Nathan $4 070	
ark:/12148/cb46962811f	 $a Vagabondages $b Texte imprimé $e en vers vous $f Philippe Folliot	 $a Saint-Pierre-de-Trivisy $c la Bibliotèca $d DL 2021¤ $a 81-Lacaune $c Impr. Périé	la Bibliotèca¤Impr. Périé	 $3 14488790 $o ISNI0000000077317082 $a Folliot $b Philippe $f 1963-.... $4 070	
ark:/12148/cb46962601k	 $a Quand la ville tombe $b Texte imprimé $f Didier Castino	 $a Paris $c les Avrils $d DL 2021¤ $a 86-Ligugé $c Aubin impr.	les Avrils¤Aubin impr.	 $3 16996370 $o ISNI0000000458314950 $a Castino $b Didier $f 1966-.... $4 070	
ark:/12148/cb46962321c	 $a Kurdy Malloy et Mama Olga $b Texte imprimé $f Hermann	 $a Vanves $c Hachette collections $d DL 2021¤ $a 91-Palaiseau $c Impr. PPO graphic	Hachette collections¤Impr. PPO graphic	 $3 11907352 $o ISNI0000000121408943 $a Hermann $f 1938-.... $4 070	
ark:/12148/cb46962781b	 $a L'éclat d'obus $b Texte imprimé $f Maurice Leblanc	 $a [Paris] $c "Le Monde" $a Vanves $c Hachette $d DL 2021¤ $a impr. en Espagne	"Le Monde"¤Hachette	 $3 11911878 $o ISNI0000000121235675 $a Leblanc $b Maurice $f 1864-1941 $4 070	
ark:/12148/cb46982961p	 $a Cahiers secrets d'une comtesse de Bigorre $b Texte imprimé $f Claude Marque	 $a [Saint-Lézer] $c Éditions du Val d'Adour $d DL 2021	Éditions du Val d'Adour	 $3 18026778 $o ISNI0000000507760384 $a Marque $b Claude $f 1953-.... $4 070	
ark:/12148/cb46986751s	 $a Broken but alive $b Texte imprimé $f Joh Harper	 $a Paris $c Luv $d DL 2022¤ $a impr. en République tchèque	Luv	 $3 17100876 $o ISNI0000000459492556 $a Harper $b Joh $f 1990-.... $4 070	
ark:/12148/cb46970121j	 $a Un soupçon d'héroïsme $b Texte imprimé $e roman $f Clément Reychman	 $a [Paris] $c Flammarion $d DL 2020¤ $a 53-Mayenne $c Impr. Floch	Flammarion¤Impr. Floch	 $3 18005606 $o ISNI0000000506777344 $a Reychman $b Clément $f 1980-.... $4 070	
ark:/12148/cb469685817	 $a La Delector $b Texte imprimé $f François Vallejo	 $a Paris $c Éditions Viviane Hamy $d DL 2022¤ $a impr. en Espagne	Éditions Viviane Hamy	 $3 13329127 $o ISNI0000000108853647 $a Vallejo $b François $f 1960-.... $4 070	 $a Bibliogr., 2 p.
ark:/12148/cb46940491x	 $a Le monde est un bel endroit $b Texte imprimé $e roman $f Didier Desbrugères	 $a Paris $c une Heure en été $d DL 2022¤ $a 22-Saint-Brieuc $c Printcorp	une Heure en été¤Printcorp	 $3 16203764 $o ISNI0000000079273984 $a Desbrugères $b Didier $f 1960-.... $4 070	
ark:/12148/cb46987491f	 $a Le retour d'Arsène Lupin $b Texte imprimé $f Frédéric Lenormand	 $a [Paris] $c "Le Monde" $a Vanves $c Hachette $d DL 2021¤ $a impr. en Espagne	"Le Monde"¤Hachette	 $3 12168168 $o ISNI0000000121418279 $a Lenormand $b Frédéric $f 1964-.... $4 070	
ark:/12148/cb46987921n	 $a L'histoire surprise de mes 3 ans $b Texte imprimé	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Chine	Fleurus		 $a Livre cartonné
ark:/12148/cb469616318	 $a Un pont entre deux vies $b Texte imprimé $f Jade Devaux	 $a Paris $c Éditions Exergue $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	Éditions Exergue¤Impr. Laballery	 $3 17821177 $a Devaux $b Jade $4 070	
ark:/12148/cb469788818	 $a Notre-Dame des loups $b Texte imprimé $f Adrien Tomas	 $a Saint-Laurent-d'Oingt $c Mnémos $d impr. 2021¤ $a impr. en Bulgarie	Mnémos	 $3 16539509 $o ISNI000000035591278X $a Tomas $b Adrien $4 070	
ark:/12148/cb46943671k	 $a Les héritières de la Salamandre $b Texte imprimé $e roman $f Françoise Bourdon	 $a [Paris] $c le Grand livre du mois $d DL 2021¤ $a 53-Mayenne $c Impr. Floch	le Grand livre du mois¤Impr. Floch	 $3 12044235 $o ISNI0000000107978093 $a Bourdon $b Françoise $f 1953-.... $4 070	
ark:/12148/cb46950291k	 $a Instruments de musique à vent et à cordes pincées, collection Delile $b Texte imprimé $e vente, Vichy, 1er mai 2021 $f Vichy enchères	 $a Vichy $c Vichy enchères $d [2021]	Vichy enchères		
ark:/12148/cb46950081q	 $a Arts décoratifs du XXe siècle $b Texte imprimé $e vente, Paris, 6 novembre 2020 $f Delon-Hoebanx	 $a Paris $c Delon-Hoebanx $d [2020]	Delon-Hoebanx		
ark:/12148/cb469479016	 $a S'il fallut un jour la guerre $b Texte imprimé $f Anne Brousseau	 $a Crux-la-Ville $c la Tête à l'envers $d DL 2021¤ $a 30-Nîmes $c Impr. Mondial livre	la Tête à l'envers¤Impr. Mondial livre	 $3 18025648 $o ISNI0000000507731612 $a Brousseau $b Anne $f 1971-.... $4 070	
ark:/12148/cb469462418	 $a Fleurs aimées $b Texte imprimé $e entre peinture et poésie	 $a [Vanves] $c Hazan $d DL 2021¤ $a impr. en Italie	Hazan		
ark:/12148/cb470121817	 $a Dépossession $b Texte imprimé $f Édouard de Praron	 $a Paris $c Presses de la délivrance $d impr. 2022¤ $a 93-La Courneuve $c Isiprint	Presses de la délivrance¤Isiprint	 $3 18033747 $a Praron $b Édouard de $4 070	
ark:/12148/cb47003151b	 $a Vivre l'Évangile $b Texte imprimé $f Paul-Marcel Lemaire	 $a [Toulouse] $c Domuni-press $d 2022	Domuni-press	 $3 12966017 $o ISNI0000000084496111 $a Lemaire $b Paul-Marcel $f 1928-.... $4 070	
ark:/12148/cb46979182x	 $a Fleur de bataille $b Texte imprimé $f Philippe Penguy	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 14461290 $o ISNI0000000371861409 $a Penguy $b Philippe $f 1962-.... $4 070	
ark:/12148/cb46979322m	 $a Passions vibrantes et inébranlables $b Texte imprimé $e recueil de poèmes $f Robert Valérius	 $a Baie-Mahault (Guadeloupe) $c Éditions Nèg mawon¤ $d C 2021	Éditions Nèg mawon	 $3 15106973 $o ISNI0000000107187718 $a Valérius $b Robert $f 1952-.... $4 070	
ark:/12148/cb469791927	 $a Le bronze des fédérés $b Texte imprimé $f Bertrand Picard	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Sobook impr.	Éditions Complicités¤Sobook impr.	 $3 17025226 $o ISNI0000000458803113 $a Picard $b Bertrand $f 1950-.... $4 070	
ark:/12148/cb469792826	 $a Le silence des échos $b Texte imprimé $e le réel fissuré $e fable philosophique $f Béatrice Mazzuri	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 16619948 $o ISNI0000000508159857 $a Mazzuri $b Béatrice $4 070	
ark:/12148/cb469790323	 $a Chocolat $b Texte imprimé $e quand tu nous tiens $f Rémy des Corbières	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 17757627 $o ISNI0000000468597181 $a Des Corbières $b Rémy $f 1967-.... $4 070	
ark:/12148/cb469876821	 $a Noire initiale $b Texte imprimé $e poème pour Nina Simone $f Laurent Grison	 $a [Charpey] $c Atelier du hanneton $d impr. 2021¤ $a 26-Charpey $c Impr. Atelier du hanneton	Atelier du hanneton¤Impr. Atelier du hanneton	 $3 14451785 $o ISNI0000000366336335 $a Grison $b Laurent $f 1963-.... $4 070	
ark:/12148/cb469874129	 $a Alors je me réinventai $b Texte imprimé $f Christiane Ruiz	 $a Sète $c FLAM $d DL 2021¤ $a 34-Sète $c Impr. FLAM arts et jardins	FLAM¤Impr. FLAM arts et jardins	 $3 16745100 $o ISNI0000000459853972 $a Ruiz $b Christiane $f 1945-.... $4 070	 $a Notice réd. d'après la couv.
ark:/12148/cb46984452t	 $a La bête $b Texte imprimé $f Hermann	 $a Vanves $c Hachette collections $d DL 2021¤ $a 91-Palaiseau $c Impr. PPO graphic	Hachette collections¤Impr. PPO graphic	 $3 11907352 $o ISNI0000000121408943 $a Hermann $f 1938-.... $4 070	
ark:/12148/cb46973602c	 $a Le sourire $b Texte imprimé $f Nathalie Silva	 $a [Saoû] $c Éditions de la Galipotte $d impr. 2022¤ $a 69-Décines $c Impr. Kaméléon	Éditions de la Galipotte¤Impr. Kaméléon	 $3 18024016 $o ISNI0000000507307416 $a Silva $b Nathalie $f 1959-.... $4 070	
ark:/12148/cb46978232d	 $a Je suis Carmen ! $b Texte imprimé $f Gilles Cailleau	 $a Le Revest-les-Eaux $c les Cahiers de l'égaré $d DL 2022¤ $a 13-Le Rove $c Impr. Clip	les Cahiers de l'égaré¤Impr. Clip	 $3 15033194 $o ISNI0000000061573268 $a Cailleau $b Gilles $f 1964-.... $4 070	
ark:/12148/cb46999342n	 $a L'histoire surprise de mes 1 an $b Texte imprimé	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Chine	Fleurus		 $a Livre cartonné
ark:/12148/cb46957252c	 $a Les chiens sauvages $b Texte imprimé $f Claude Faber	 $a Ille-sur-Tet $c Éditions Paraules $d 2021	Éditions Paraules	 $3 13502828 $o ISNI0000000078369060 $a Faber $b Claude $f 1964-.... $4 070	 $a Publié à l'occasion de l'Illa dels poetes 4
ark:/12148/cb46995562v	 $a L'amour avec un grand b $b Texte imprimé $f Luce Tardieu	 $a Châteauroux-les-Alpes $c Gros textes $c Alpes vagabondes $d DL 2022¤ $a 05-Châteauroux-les-Alpes $c Impr. Gros textes	Gros textes¤Alpes vagabondes¤Impr. Gros textes	 $3 17946381 $a Tardieu $b Luce $4 070	
ark:/12148/cb469908525	 $a Il était trois petits navires $b Texte imprimé $f Jacques Eicholz	 $a Paris $c Éditions Complicités $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 12803503 $o ISNI0000000000299322 $a Eicholz $b Jacques $4 070	
ark:/12148/cb469937022	 $a Boucle d'or $b Texte imprimé	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Chine	Fleurus		 $a Livre cartonné animé à toucher
ark:/12148/cb46976962s	 $a Ton ange te guidera $b Texte imprimé $f Nathalie Garnier	 $a Genève $a Saint-Julien-en-Genevois $c Jouvence roman $d DL 2022¤ $a impr. au Danemark	Jouvence roman	 $3 18028376 $o ISNI0000000507804797 $a Garnier $b Nathalie $4 070	
ark:/12148/cb46950012w	 $a Indochine $b Texte imprimé $e mythes et réalités, 1800-1960 $e chapitre 9 $e vente, Paris, 22 septembre 2020 $f Lynda Trouvé	 $a Paris $c Lynda Trouvé $d [2020]	Lynda Trouvé		
ark:/12148/cb46974302s	 $a Volcan d'émotion $b Texte imprimé $e poésie $f Sandra Emma	 $a Saint-Denis (La Réunion) $c Éditions UDIR $d 2020¤ $a 974-Saint-Denis $c Imprimerie dionysienne	Éditions UDIR¤Imprimerie dionysienne	 $3 15923133 $o ISNI000000000251433X $a Emma $b Sandra $f 1972-.... $4 070	
ark:/12148/cb46974242r	 $a L'amant de Salammbô $b Texte imprimé $e récits, fables et papillotements $f Jacques Machiels	 $a Tellin (Belgique) $c Éditions Traces de vie $d 2011	Éditions Traces de vie	 $3 18031098 $a Machiels $b Jacques $4 070	 $a Diffusé en France
ark:/12148/cb46962512z	 $a Adelaïde et Victor $b Texte imprimé $f Jean Louis Vallois	 $a [Chaumont] $c Éditions Douro $d 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Douro¤Impr. Lightning source	 $3 12643736 $o ISNI0000000073051045 $a Vallois $b Jean-Louis $f 1956-.... $4 070	 $a Bibliogr., p. 249
ark:/12148/cb46962972x	 $a Dorothée danseuse de corde $b Texte imprimé $f Maurice Leblanc	 $a [Paris] $c "Le Monde" $a Vanves $c Hachette $d DL 2021¤ $a impr. en Espagne	"Le Monde"¤Hachette	 $3 11911878 $o ISNI0000000121235675 $a Leblanc $b Maurice $f 1864-1941 $4 070	
ark:/12148/cb46953142t	 $a La ballade de Nitchevo $b Texte imprimé $e roman $f Claire Barré	 $a Paris $c Guy Trédaniel éditeur $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	Guy Trédaniel éditeur¤Impr. Laballery	 $3 15005346 $o ISNI0000000001104187 $a Barré $b Claire $f 1974-.... $4 070	
ark:/12148/cb46941272b	 $a Sulfurous bad boy $b Texte imprimé $f Laura Black	 $a Paris $c Luv $d DL 2021¤ $a impr. en République tchèque	Luv	 $3 17120454 $o ISNI0000000460194505 $a Black $b Laura $f 1975-.... $c romancière $4 070	
ark:/12148/cb46975142q	 $a Soleil levant $b Texte imprimé $f Alexandre Galien	 $a Neuilly-sur-Seine $c Michel Lafon $d DL 2021¤ $a 14-Condé-en-Normandie $c Corlet impr.	Michel Lafon¤Corlet impr.	 $3 17859579 $o ISNI0000000480224046 $a Galien $b Alexandre $f 1989-.... $4 070	
ark:/12148/cb470599720	 $a Foi et hérésies $b Texte imprimé $e une fresque historique $f Sergueï Kolessnikow	 $a [Cagnes-sur-Mer] $c Éditions RIC $d DL 2022¤ $a 33-Mérignac $c Impr. Copymédia	Éditions RIC¤Impr. Copymédia	 $3 16911165 $o ISNI0000000459558164 $a Kolessnikow $b Sergueï $f 1950-.... $4 070	
ark:/12148/cb47061992w	 $a Il giudizio severo dell'amore $b Texte imprimé $f Hazel Fisher	 $a Milano $c Harlequin Mondadori $d 1984¤ $a 18-Saint-Amand $c Impr. Bussière	Harlequin Mondadori¤Impr. Bussière	 $3 12605943 $a Fisher $b Hazel $4 070	
ark:/12148/cb470028720	 $a Un amour retrouvé $b Texte imprimé $e roman $f Véronique de Bure	 $a [Paris] $c Flammarion $d DL 2021	Flammarion	 $3 15023293 $o ISNI000000006315098X $a Bure $b Véronique de $4 070	
ark:/12148/cb46941813g	 $a Tête de lune $b Texte imprimé $e roman $f Gilbert Bordes	 $a [Paris] $c le Grand livre du mois $d DL 2021¤ $a 12-Millau $c Impr. Maury	le Grand livre du mois¤Impr. Maury	 $3 11892946 $o ISNI0000000114670740 $a Bordes $b Gilbert $f 1948-.... $4 070	
ark:/12148/cb46951513v	 $a Parfois les vagues $b Texte imprimé $f Jean-Pierre Crétel	 $a [Saint-Maixent-l'École] $c Édi'lybris $d 2021	Édi'lybris	 $3 18000746 $o ISNI0000000506352303 $a Crétel $b Jean-Pierre $4 070	
ark:/12148/cb469957434	 $a Les pompiers $b Texte imprimé	 $a Barcelona $c Altaya $d DL 2019¤ $a impr. en Espagne	Altaya		 $a Diffusé en France
ark:/12148/cb46957623w	 $a Duie rime $b Texte imprimé $f Paul-Vincent Mucchielli	 $a Ajaccio $c Parti des oiseaux $d cop. 2021¤ $a 01-Péronnas $c Sepec impr.	Parti des oiseaux¤Sepec impr.	 $3 13739458 $o ISNI0000000000990068 $a Mucchielli $b Paulu-Vincentu $4 070	
ark:/12148/cb46992603w	 $a Dialogues à rebours $b Texte imprimé $f Henri Giriat	 $a Busloup $c le Moulin de l'étoile¤ $d C 2021¤ $a 41-Blois $c Impr. ISF	le Moulin de l'étoile¤Impr. ISF	 $3 12868663 $o ISNI0000000107573491 $a Giriat $b Henri $f 1920-2016 $4 070	
ark:/12148/cb46950233d	 $a Bijoux & montres $b Texte imprimé $e vente, Paris, 2 avril 2021 $f Pestel-Debord	 $a Paris $c Pestel-Debord $d [2021]	Pestel-Debord		
ark:/12148/cb469721738	 $a Mémoires de Résistance à Beaumont-du-Périgord $b Texte imprimé $f Éliane Promis	 $a Lalinde $c Feuille à feuille édition $d impr. 2021¤ $a 24-Lalinde $c Impr. Feuille à feuille	Feuille à feuille édition¤Impr. Feuille à feuille	 $3 16714913 $a Promis $b Éliane $f 1946-.... $4 070	
